Company,ISIN
Prysmian SpA,IT0004176001
Veolia Environnement SA,FR0000124141
Kongsberg Gruppen ASA,NO0003043309
Vodafone Group PLC,GB00BH4HKS39
SSE PLC,GB0007908733
Sartorius Stedim Biotech SA,FR0013154002
Heineken Holding NV,NL0000008977
Geberit AG,CH0030170408
Poste Italiane SpA,IT0003796171
Sandoz Group AG,CH1243598427
SGS SA,CH1256740924
International Consolidated Airlines Group SA,ES0177542018
InterContinental Hotels Group PLC,GB00BHJYC057
Moncler SpA,IT0004965148
Sonova Holding AG,CH0012549785
Dassault Aviation SA,FR0014004L86
Essity AB (publ),SE0009922164
BT Group PLC,GB0030913577
H & M Hennes & Mauritz AB,SE0000106270
Alfa Laval AB,SE0000695876
Legal & General Group PLC,GB0005603997
Oersted A/S,DK0060094928
Orlen SA,PLPKN0000018
Associated British Foods PLC,GB0006731235
Logitech International SA,CH0025751329
Bollore SE,FR0000039299
Telenor ASA,NO0010063308
MTU Aero Engines AG,DE000A0D9PT0
Sartorius AG,DE0007165631
Carlsberg A/S,DK0010181759
Kerry Group PLC,IE0004906560
Aviva PLC,GB00BPQY8M80
Ems Chemie Holding AG,CH0016440353
Investment AB Latour,SE0010100958
Terna Rete Elettrica Nazionale SpA,IT0003242622
Evolution AB (publ),SE0012673267
UPM-Kymmene Oyj,FI0009005987
Industrivarden AB,SE0000107203
Sage Group PLC,GB00B8C3BL03
Snam SpA,IT0003153415
Next PLC,GB0032089863
AIB Group PLC,IE00BF0L3536
Repsol SA,ES0173516115
Lifco AB (publ),SE0015949201
Coca Cola HBC AG,CH0198251305
Renault SA,FR0000131906
Saab AB,SE0021921269
Informa PLC,GB00BMJ6DW54
Amundi SA,FR0004125920
Genmab A/S,DK0010272202
Pandora A/S,DK0060252690
Bureau Veritas SA,FR0006174348
ACS Actividades de Construccion y Servicios SA,ES0167050915
Continental AG,DE0005439004
Banco BPM SpA,IT0005218380
Mediobanca Banca di Credito Finanziario SpA,IT0000062957
Kingspan Group PLC,IE0004927939
Banco de Sabadell SA,ES0113860A34
Symrise AG,DE000SYM9999
Koninklijke KPN NV,NL0000009082
Nemetschek SE,DE0006452907
Fortum Oyj,FI0009007132
Bunzl plc,GB00B0744B38
Halma PLC,GB0004052071
Biomerieux SA,FR0013280286
Vestas Wind Systems A/S,DK0061539921
Knorr Bremse AG,DE000KBX1006
Omv AG,AT0000743059
Santander Bank Polska SA,PLBZ00000044
Fresenius Medical Care AG,DE0005785802
Aker BP ASA,NO0010345853
Julius Baer Gruppe AG,CH0102484968
EDP SA,PTEDP0AM0009
Jeronimo Martins SGPS SA,PTJMT0AE0001
Wise PLC,GB00BL9YR756
NN Group NV,NL0010773842
Euronext NV,NL0006294274
Tryg A/S,DK0060636678
Rentokil Initial PLC,GB00B082RF11
Bouygues SA,FR0000120503
Verbund AG,AT0000746409
Telia Company AB,SE0000667925
Hochtief AG,DE0006070006
Unibail-Rodamco-Westfield SE,FR0013326246
VAT Group AG,CH0311864901
Segro PLC,GB00B5ZN1N88
Norsk Hydro ASA,NO0005052605
Dino Polska SA,PLDINPL00011
Recordati Industria Chimica e Farmaceutica SpA,IT0003828271
Accor SA,FR0000120404
Powszechny Zaklad Ubezpieczen SA,PLPZU0000011
Bank Polska Kasa Opieki SA,PLPEKAO00016
Covestro AG,DE0006062144
Pearson PLC,GB0006776081
Smith & Nephew PLC,GB0009223206
Wartsila Oyj Abp,FI0009003727
Sodexo SA,FR0000121220
FinecoBank Banca Fineco SpA,IT0000072170
Bank of Ireland Group PLC,IE00BD1RP616
Galp Energia SGPS SA,PTGAL0AM0009
Indutrade AB,SE0001515552
Admiral Group PLC,GB00B02J6398
Intertek Group PLC,GB0031638363
ASR Nederland NV,NL0011872643
Aeroports de Paris SA,FR0010340141
Banca Mediolanum SpA,IT0004776628
CTS Eventim AG & Co KgaA,DE0005470306
Swedish Orphan Biovitrum AB (publ),SE0000872095
Akzo Nobel NV,NL0013267909
Unipol Assicurazioni SpA,IT0004810054
Rational AG,DE0007010803
WPP PLC,JE00B8KF9B49
Zalando SE,DE000ZAL1111
BE Semiconductor Industries NV,NL0012866412
Bper Banca SpA,IT0000066123
Gjensidige Forsikring ASA,NO0010582521
Aegon Ltd,BMG0112X1056
ABN Amro Bank NV,NL0011540547
Ageas SA,BE0974264930
Mowi ASA,NO0003054108
Swatch Group AG,CH0012255151
Groep Brussel Lambert NV,BE0003797140
SKF AB,SE0000108227
Melrose Industries PLC,GB00BNGDN821
Svenska Cellulosa Aktiebolaget SCA,SE0000112724
Eurofins Scientific SE,FR0014000MR3
Boliden AB,SE0020050417
GEA Group AG,DE0006602006
Alstom SA,FR0010220475
Ipsen SA,FR0010259150
EDP Renovaveis SA,ES0127797019
Brenntag SE,DE000A1DAHH0
Orkla ASA,NO0003733800
Redeia Corporacion SA,ES0173093024
Metso Oyj,FI0009014575
Helvetia Holding AG,CH0466642201
Skanska AB,SE0000113250
Swiss Prime Site AG,CH0008038389
Eiffage SA,FR0000130452
Centrica PLC,GB00B033F229
Evonik Industries AG,DE000EVNK013
IMCD NV,NL0010801007
Infrastrutture Wireless Italiane SpA,IT0005090300
Severn Trent PLC,GB00B1FH8J72
InPost SA,LU2290522684
D'Ieteren Group SA,BE0974259880
Klepierre SA,FR0000121964
Getlink SE,FR0010533075
Belimo Holding AG,CH1101098163
Banque Cantonale Vaudoise,CH0531751755
Brunello Cucinelli SpA,IT0004764699
Marks and Spencer Group PLC,GB0031274896
BKW AG,CH0130293662
JDE Peets NV,NL0014332678
Carrefour SA,FR0000120172
Stora Enso Oyj,FI0009005961
Smiths Group PLC,GB00B1WY2338
Syensqo NV,BE0974464977
Intermediate Capital Group PLC,GB00BYT1DJ19
SIG Group AG,CH0435377954
Buzzi SpA,IT0001347308
Banco Comercial Portugues SA,PTBCP0AM0015
Auto Trader Group PLC,GB00BVYVFW23
LPP SA,PLLPP0000011
Baloise Holding AG,CH0012410517
Qiagen NV,NL0015002CX3
Sofina SA,BE0003717312
Trelleborg AB,SE0000114837
Banca Monte dei Paschi di Siena SpA,IT0005508921
Rockwool A/S,DK0010219153
Bankinter SA,ES0113679I37
Raiffeisen Bank International AG,AT0000606306
Delivery Hero SE,DE000A2E4K43
Rexel SA,FR0010451203
United Utilities Group PLC,GB00B39J2M42
Demant A/S,DK0060738599
Addtech AB,SE0014781795
Tele2 AB,SE0005190238
Deutsche Lufthansa AG,DE0008232125
Securitas AB,SE0000163594
Allegro.eu SA,LU2237380790
Diploma PLC,GB0001826634
Edenred SE,FR0010908533
Barratt Redrow PLC,GB0000811801
Schroders PLC,GB00BP9LHF23
Lotus Bakeries NV,BE0003604155
Fastighets AB Balder,SE0017832488
Orion Oyj,FI0009014377
L E Lundbergforetagen AB (publ),SE0000108847
BAWAG Group AG,AT0000BAWAG2
St James's Place PLC,GB0007669376
Beijer Ref AB (publ),SE0015949748
Kesko Oyj,FI0009000202
Weir Group PLC,GB0009465807
Var Energi ASA,NO0011202772
Flughafen Zuerich AG,CH0319416936
Elisa Oyj,FI0009007884
J Sainsbury PLC,GB00B019KW72
AAK AB (publ),SE0011337708
Sagax AB,SE0005127818
Gecina SA,FR0010040865
Scout24 SE,DE000A12DM80
Davide Campari Milano NV,NL0015435975
Yara International ASA,NO0010208051
Swissquote Group Holding SA,CH0010675863
Randstad NV,NL0000379121
Neste Oyj,FI0009013296
VZ Holding AG,CH0528751586
Zealand Pharma A/S,DK0060257814
Spirax Group PLC,GB00BWFGQN14
La Francaise des Jeux SA,FR0013451333
A2A SpA,IT0001233417
KGHM Polska Miedz SA,PLKGHM000017
PSP Swiss Property AG,CH0018294154
Mondi PLC,GB00BMWC6P49
SalMar ASA,NO0010310956
Ackermans & Van Haaren NV,BE0003764785
Nibe Industrier AB,SE0015988019
DCC Plc,IE0002424939
Financiere de Tubize SA,BE0003823409
Avolta AG,CH0023405456
Beazley PLC,GB00BYQ0JC66
Hargreaves Lansdown PLC,GB00B1VZ0M25
Sweco AB (publ),SE0014960373
Hikma Pharmaceuticals PLC,GB00B0LCW083
Arkema SA,FR0010313833
Barry Callebaut AG,CH0009002962
Georg Fischer AG,CH1169151003
Rightmove PLC,GB00BGDT3G23
MERLIN Properties SOCIMI SA,ES0105025003
Phoenix Group Holdings PLC,GB00BGXQNP29
ConvaTec Group PLC,GB00BD3VFW73
Holmen AB,SE0011090018
Neoen SA,FR0011675362
Investec PLC,GB00B17BBQ50
M&G PLC,GB00BKFB1C65
Teleperformance SE,FR0000051807
Telecom Italia SpA,IT0003497168
Banca Generali SpA,IT0001031084
Acciona SA,ES0125220311
Reply SpA,IT0005282865
Temenos AG,CH0012453913
Andritz AG,AT0000730007
IMI PLC,GB00BGLP8L22
Eurazeo SE,FR0000121121
Grifols SA,ES0171996087
Gaztransport et Technigaz SA,FR0011726835
Covivio SA,FR0000064578
SSAB AB,SE0000120669
Amplifon SpA,IT0004056880
Nexi SpA,IT0005366767
Entain PLC,IM00B5VQMV65
Spie SA,FR0012757854
Porsche Automobil Holding SE,DE000PAH0038
LEG Immobilien SE,DE000LEG1110
Whitbread PLC,GB00B1KJJ408
Games Workshop Group PLC,GB0003718474
Howden Joinery Group PLC,GB0005576813
Nordnet AB (publ),SE0015192067
DiaSorin SpA,IT0003492391
Konecranes Abp,FI0009005870
CD Projekt SA,PLOPTTC00011
Croda International PLC,GB00BJFFLV09
Fuchs Se,DE000A3E5D64
Hera SpA,IT0001250932
Kingfisher PLC,GB0033195214
Sulzer AG,CH0038388911
Castellum AB,SE0000379190
Land Securities Group PLC,GB00BYW0PQ60
Sparebank 1 Sor-Norge ASA,NO0010631567
SEB SA,FR0000121709
JD Sports Fashion PLC,GB00BM8Q5M07
Unite Group PLC,GB0006928617
Kion Group AG,DE000KGX8881
Valmet Oyj,FI4000074984
Getinge AB,SE0000202624
Azelis Group NV,BE0974400328
DKSH Holding AG,CH0126673539
Technip Energies NV,NL0014559478
Taylor Wimpey PLC,GB0008782301
Carl Zeiss Meditec AG,DE0005313704
SFS Group AG,CH0239229302
Italgas SpA,IT0005211237
Siegfried Holding AG,CH0014284498
Storebrand ASA,NO0003053605
Jyske Bank A/S,DK0010307958
LondonMetric Property PLC,GB00B4WFW713
Warehouses de Pauw NV,BE0974349814
Avanza Bank Holding AB,SE0012454072
Elia Group SA,BE0003822393
Bachem Holding AG,CH1176493729
Subsea 7 SA,LU0075646355
Persimmon PLC,GB0006825383
Saipem SpA,IT0005495657
Nexans SA,FR0000044448
Koninklijke Vopak NV,NL0009432491
Scor SE,FR0010411983
Burberry Group PLC,GB0031743007
Banca Popolare Di Sondrio SpA,IT0000784196
Elis SA,FR0012435121
Berkeley Group Holdings PLC,GB00BP0RGD03
Easyjet PLC,GB00B7KR2P84
Arcadis NV,NL0006237562
Tomra Systems ASA,NO0012470089
Axfood AB,SE0006993770
Millicom International Cellular SA,SE0001174970
Ambu A/S,DK0060946788
Vallourec SA,FR0013506730
Tritax Big Box Reit PLC,GB00BG49KP99
British Land Company PLC,GB0001367019
Galenica AG,CH0360674466
Wendel SE,FR0000121204
Accelleron Industries AG,CH1169360919
ALK-Abello A/S,DK0061802139
Hiscox Ltd,BMG4593F1389
Puma SE,DE0006969603
ISS A/S,DK0060542181
International Distribution Services PLC,GB00BDVZYZ77
Mycronic AB (publ),SE0000375115
Ringkjoebing Landbobank A/S,DK0060854669
Bechtle AG,DE0005158703
Lagercrantz Group AB,SE0014990966
Direct Line Insurance Group PLC,GB00BY9D0Y18
Iveco Group NV,NL0015000LU4
Adecco Group AG,CH0012138605
Interpump Group SpA,IT0001078911
Bucher Industries AG,CH0002432174
IG Group Holdings PLC,GB00B06QFB75
Huhtamaki Oyj,FI0009000459
Aalberts NV,NL0000852564
Sectra AB,SE0022419784
Fortnox AB,SE0017161243
Clariant AG,CH0012142631
Softcat PLC,GB00BYZDVK82
voestalpine AG,AT0000937503
Aurubis AG,DE0006766504
Glanbia PLC,IE0000669501
Azimut Holding SpA,IT0003261697
Royal Unibrew A/S,DK0060634707
Bridgepoint Group PLC,GB00BND88V85
RS Group PLC,GB0003096442
Nkt A/S,DK0010287663
Sopra Steria Group SA,FR0000050809
freenet AG,DE000A0Z2ZZ5
B&M European Value Retail SA,LU1072616219
Frontline Plc,CY0200352116
Abrdn PLC,GB00BF8Q6K64
Spectris PLC,GB0003308607
Thule Group AB,SE0006422390
Alten SA,FR0000071946
ITV PLC,GB0033986497
Hemnet Group AB (publ),SE0015671995
Kemira Oyj,FI0009004824
Rotork PLC,GB00BVFNZH21
TUI AG,DE000TUAG505
Bellway PLC,GB0000904986
Wienerberger AG,AT0000831706
Verallia SA,FR0013447729
Inchcape PLC,GB00B61TVQ02
Vidrala SA,ES0183746314
Cranswick PLC,GB0002318888
Puig Brands SA,ES0105777017
Enagas SA,ES0130960018
Hexpol AB,SE0007074281
Ocado Group PLC,GB00B3MBS747
Inficon Holding AG,CH0011029946
Allreal Holding AG,CH0008837566
Sydbank A/S,DK0010311471
Man Group PLC,JE00BJ1DLW90
Allfunds Group PLC,GB00BNTJ3546
Cembra Money Bank AG,CH0225173167
Shaftesbury Capital PLC,GB00B62G9D36
Johnson Matthey PLC,GB00BZ4BQC70
Tate & Lyle PLC,GB00BP92CJ43
Aedifica NV,BE0003851681
Husqvarna AB,SE0001662230
P/F Bakkafrost,FO0000000179
FLSmidth & Co A/S,DK0010234467
Wihlborgs Fastigheter AB,SE0018012635
Balfour Beatty PLC,GB0000961622
Computacenter PLC,GB00BV9FP302
Viscofan SA,ES0184262212
Tecan Group AG,CH0012100191
GN Store Nord A/S,DK0010272632
Gerresheimer AG,DE000A0LD6E6
Drax Group PLC,GB00B1VNSX38
Signify NV,NL0011821392
Playtech PLC,IM00B7S9G985
Valeo SE,FR0013176526
Rubis SCA,FR0013269123
Cargotec Corp,FI4000571013
Greggs PLC,GB00B63QSB39
Just Eat Takeaway.com NV,NL0012015705
Derwent London PLC,GB0002652740
QinetiQ Group PLC,GB00B0WMWD03
Wallenstam AB,SE0017780133
Lanxess AG,DE0005470405
Pennon Group PLC,GB00BNNTLN49
Electrolux AB,SE0016589188
Vistry Group PLC,GB0001859296
Embracer Group AB,SE0023615885
Plus500 Ltd,IL0011284465
Munters Group AB,SE0009806607
TP ICAP Group PLC,JE00BMDZN391
Redcare Pharmacy NV,NL0012044747
K+S AG,DE000KSAG888
Comet Holding AG,CH0360826991
Umicore SA,BE0974320526
TAG Immobilien AG,DE0008303504
Big Yellow Group PLC,GB0002869419
Kinnevik AB,SE0022060521
Soitec SA,FR0013227113
Canal+ SA,FR001400T0D6
Cofinimmo SA,BE0003593044
Tietoevry Oyj,FI0009000277
Grafton Group PLC,IE00B00MZ448
Elekta AB (publ),SE0000163628
Serco Group PLC,GB0007973794
Bavarian Nordic A/S,DK0015998017
Travis Perkins PLC,GB00BK9RKT01
Fugro NV,NL00150003E1
Safestore Holdings PLC,GB00B1N7Z094
