Adjustment,Date,Company,ISIN
+,2007-03-19,Rieter Hldg,CH0003671440
-,2007-03-19,Stork,NL0000390672
-,2007-03-19,Straumann,CH1175448666
-,2007-03-19,Suedzucker,DE0007297004
+,2007-03-19,United Internet,DE0005089031
-,2007-03-19,Valiant Hldg,CH0014786500
-,2007-02-13,Merck Serono,CH0010751920
+,2007-02-13,Nexans,FR0000044448
-,2007-01-02,Sanpaolo IM,IT0001269361
+,2007-01-02,SIG,GB0008025412
-,2006-12-21,AWG Parent,GB0033126615
+,2006-12-21,Ratos,SE0000111940
+,2006-12-18,Abrdn,GB00BF8Q6K64
-,2006-12-18,Entain Hldg,GI000A0MV757
-,2006-12-18,Fideuram,IT0000082963
-,2006-12-18,Huhtamaki,FI0009000459
-,2006-12-18,Inmobiliaria Col,ES0153440419
+,2006-12-18,Oc Oerlikon,CH0000816824
+,2006-12-18,Premier Foods,GB00B7N0K053
-,2006-12-15,TP ICAP Group,JE00BMDZN391
+,2006-12-15,TP ICAP Group,JE00BMDZN391
+,2006-12-06,BME Holding,ES0115056139
-,2006-12-06,Energia Group NI,GB00B09XD336
-,2006-11-24,BIP Industries,GB0030616733
+,2006-11-24,FLSmidth,DK0010234467
-,2006-10-16,RAS Hldg,IT0000062825
+,2006-10-16,REC,NO0010112675
-,2006-10-10,Experian,GB00B19NLV48
+,2006-10-10,Experian,GB00B19NLV48
+,2006-10-10,Home Retail Grp,GB00B19NKB76
-,2006-10-10,Sportingbet,GB0009516252
+,2006-10-09,Biffa Group Hold,GB00B129PL77
-,2006-10-09,Canon Production,NL0000354934
+,2006-09-18,Admiral Group,GB00B02J6398
+,2006-09-18,BAM Groep,NL0000337319
-,2006-09-18,Bayer Pharma,DE0007172009
-,2006-09-18,bwin Interactive,AT0000767553
+,2006-09-18,Currys,GB00B4Y7R145
+,2006-09-18,Demant,DK0060738599
-,2006-09-18,Edison It,IT0003152417
-,2006-09-18,Emporiki,GRS006013007
-,2006-09-18,General Hold,DE0008400029
-,2006-09-18,Getronics,NL0000853091
+,2006-09-18,Hexagon AB,SE0015961909
-,2006-09-18,Iber Lin Aer Esp,ES0147200036
+,2006-09-18,IFIL Investments,IT0001353173
+,2006-09-18,Mowi,NO0003054108
-,2006-09-18,Nokian Tyres,FI0009005318
+,2006-09-18,OP Yrityspankki,FI0009003222
-,2006-09-18,Orion,FI0009014377
-,2006-09-05,BOC Group,GB0001081206
+,2006-09-05,Legrand,FR0010307819
-,2006-08-18,Eircom Group,GB0034341890
+,2006-08-18,MTU Aero Engines,DE000A0D9PT0
-,2006-08-08,ABP Holding,GB0000564343
+,2006-08-08,Seadrill BM,BMG7998G1069
-,2006-08-01,Arcelor,LU0325453354
+,2006-08-01,ArcelorMittal,LU1598757687
-,2006-08-01,ArcelorMittal,LU1598757687
+,2006-08-01,Prosafe,NO0010861990
+,2006-07-31,Global Pvq,DE0005558662
-,2006-07-31,WBA Holdings 1,GB0009165720
+,2006-07-28,Intl Game Tech,IT0003990402
-,2006-07-28,Tele Moviles,ES0178401016
-,2006-07-24,McKesson Eu,DE000CLS1001
+,2006-07-24,McKesson Eu,DE000CLS1001
+,2006-07-14,Immoeast,AT0000642806
-,2006-07-14,LHR Airports,GB0000673409
-,2006-06-30,Orion,FI0009800346
-,2006-06-27,Gambro,SE0001956293
+,2006-06-27,Wilson Bowden,GB0009700732
+,2006-06-19,Banca Italease,IT0000226503
-,2006-06-19,Berendsen,GB00B0F99717
+,2006-06-19,Charter Inter,JE00B3CX4509
+,2006-06-19,Diebold DE,DE000A0CAYB2
+,2006-06-19,Eutelsat Com,FR0010221234
-,2006-06-19,H.Lundbeck,DK0010287234
-,2006-06-19,Havas FR,FR0000121881
+,2006-06-19,Pagegroup,GB0030232317
-,2006-06-19,Premier Food Grp,GB00B09Z0V67
-,2006-06-19,SIG Grp,CH0012022494
-,2006-06-19,Spectris,GB0003308607
+,2006-06-19,Subsea 7,LU0075646355
-,2006-06-19,UniCredt Bnk,DE0008022005
+,2006-06-19,Viridien,FR001400PVN6
-,2006-06-19,Weir Group,GB0009465807
+,2006-06-16,Drax Group,GB00B1VNSX38
-,2006-06-16,Pilkington Group,GB0006884620
-,2006-06-14,Nielsen Co,NL0000389872
+,2006-06-14,Rexel Hldg NL,NL0000355477
+,2006-06-08,Husqvarna,SE0001662230
-,2006-06-08,TDC Holding,DK0060228559
+,2006-05-22,Akastor,NO0010215684
-,2006-05-22,Banca Naz Lavoro,IT0001254884
+,2006-05-18,Arkema,FR0010313833
-,2006-05-18,Oestasiatiske Ko,DK0061277894
-,2006-05-10,ASF,FR0005512555
+,2006-05-10,PGS ASA,NO0010199151
+,2006-04-06,ArcelorMittal,LU1598757687
-,2006-04-06,Bca Antonveneta,IT0003270102
-,2006-03-21,FAB Skandia,SE0000113094
-,2006-03-20,Amer Sport,FI0009000285
+,2006-03-20,Banco Pastor,ES0113770434
+,2006-03-20,Boliden,SE0020050417
+,2006-03-20,CSR,GB0034147388
+,2006-03-20,E.D.F.,FR0010242511
+,2006-03-20,Fugro,NL00150003E1
-,2006-03-20,HMV Group,GB0031575722
-,2006-03-20,Isoft Group (UK),GB0009165613
+,2006-03-20,IVG Immobilien,DE0006205701
-,2006-03-20,Northern Food,GB0006466089
+,2006-03-20,Old Co 20,GB00B2988H17
+,2006-03-20,Parmalat,IT0003826473
-,2006-03-20,Promotora Inform,ES0171743901
-,2006-03-20,Sky Deutschland,DE000SKYD000
+,2006-03-20,Solarworld,DE000A1YCMM2
-,2006-03-20,T Online Intl,DE0005557706
-,2006-03-20,Tandberg,NO0005620856
+,2006-03-20,Unipol,IT0004810062
-,2006-03-20,Unipol,IT0004810054
+,2006-03-20,Vedanta Resource,GB0033277061
-,2006-03-20,WH Smith,GB00B2PDGW16
-,2006-03-20,Zeltia,ES0184940817
-,2006-03-09,Penins Oriental,GB0006800485
+,2006-03-09,Solvay France,FR0010479956
+,2006-02-01,Burberry Group,GB0031743007
-,2006-02-01,Telefonica O2,GB00B05KYV34
-,2005-12-21,Somerfield,GB0008218694
+,2005-12-21,voestalpine HPM,AT0000903851
-,2005-12-19,Arnoldo Mondadri,IT0001469383
+,2005-12-19,Bourbon,FR0004548873
-,2005-12-19,Burberry Group,GB0031743007
+,2005-12-19,Burren Energy,GB0033942946
-,2005-12-19,De La Rue,GB00B3DGH821
-,2005-12-19,Edison It,IT0003152417
+,2005-12-19,Fadesa Inmblaria,ES0135961219
-,2005-12-19,Howden Joinery,GB0005576813
-,2005-12-19,Micronas Semicon,CH0012337421
+,2005-12-19,Premier Food Grp,GB00B09Z0V67
+,2005-12-19,Rautaruukki,FI0009003552
-,2005-12-19,RCS Mediagroup,IT0004931496
+,2005-12-19,Salzgitter A,DE0006202005
-,2005-12-19,Shell,GB00BP6MXD84
+,2005-12-19,Shell,GB00BP6MXD84
-,2005-12-13,Exel,GB0004486881
+,2005-12-13,G City Europe,JE00B3DCF752
-,2005-12-09,BPB,GB0000687078
+,2005-12-09,Fraport Airport,DE0005773303
-,2005-12-05,UniCredit AT,AT0000995006
+,2005-12-05,Verbund,AT0000746409
-,2005-11-18,Electrabel,BE0003637486
+,2005-11-18,Tenaris,LU2598331598
+,2005-09-19,C&C Group,IE00B010DT83
-,2005-09-19,Dairy Crest Grp,GB0002502812
+,2005-09-19,Engie,FR0010208488
+,2005-09-19,Entain Hldg,GI000A0MV757
+,2005-09-19,Inmarsat Grp,GB00B09LSH68
-,2005-09-19,Janus Henderson,JE00BYPZJM29
-,2005-09-19,Metsa Board,FI0009000665
-,2005-09-19,Nasdaq SE,NULL
-,2005-09-19,Old Co 20,GB00B2988H17
+,2005-09-19,Orron Energy,SE0000825820
+,2005-09-19,Stork,NL0000390672
-,2005-09-19,Vesuvius,GB00B82YXW83
-,2005-09-02,Slutvik,SE0002273961
-,2005-08-10,Maersk Holding,NL0000009983
+,2005-08-10,Vallourec,FR0013506730
+,2005-07-28,Orion,FI0009800346
-,2005-07-28,Pillar Property,GB00B01HL065
-,2005-07-25,Allied Domecq,GB0007294571
+,2005-07-25,Bilfinger,DE0005909006
+,2005-07-20,Rheinmetall,DE0007030009
+,2005-07-20,Shell,GB00BP6MXD84
-,2005-07-20,Shell,GB00BP6MXD84
-,2005-07-20,Shell,GB00B03MM408
-,2005-07-19,Koninklijke NPM,NL0000009470
-,2005-07-12,Amadeus IT Gro,ES0109169013
+,2005-06-30,Sydbank,DK0010311471
-,2005-06-30,Telecom Mobile,IT0001052049
-,2005-06-20,Autoliv,SE0021309614
+,2005-06-20,Banca Carige,IT0005428195
-,2005-06-20,Brush Hldg,GB0003294591
+,2005-06-20,bwin Interactive,AT0000767553
+,2005-06-20,Castellum,SE0000379190
+,2005-06-20,Fabege,SE0011166974
-,2005-06-20,Halma,GB0004052071
+,2005-06-20,Inmobiliaria Col,ES0153440419
-,2005-06-20,JLT Group Hldg,GB0005203376
+,2005-06-20,Kingspan Group,IE0004927939
-,2005-06-20,Minor Hotels Eur,ES0161560018
-,2005-06-20,MLP S,DE0006569908
-,2005-06-20,Premier Farnell,GB0003318416
-,2005-06-20,SSL Intl,GB0007981128
+,2005-06-20,Sulzer,CH0038388911
-,2005-06-20,Telent,GB00B0S5CP58
+,2005-06-20,Wartsila,FI0009003727
-,2005-06-20,Woolworths Group,GB0030738610
+,2005-06-20,YIT,FI0009800643
+,2005-06-14,Raiffeisen Intl,AT0000606306
-,2005-06-14,Vita Group,GB0001421626
+,2005-06-01,Cargotec,FI4000571013
+,2005-06-01,Kone,FI0009013403
-,2005-06-01,Kone FI,FI0009000566
-,2005-06-01,Oc Oerlikon,CH0000816824
-,2005-05-12,ISS World Servs,DK0010267046
+,2005-05-12,Modern Times,SE0018012494
+,2005-05-09,Nokian Tyres,FI0009005318
-,2005-05-09,RAC Group,GB0005145239
-,2005-04-19,Aggregate Indust,GB0003238267
-,2005-04-19,Safran Aircraft,FR0005328747
+,2005-04-19,Sportingbet,GB0009516252
+,2005-04-01,Neste,FI0009013296
-,2005-03-21,Caiss Regio Cred,FR0000045528
+,2005-03-21,Dsv,DK0060079531
+,2005-03-21,EDF Nuclear,GB00B04QKW59
-,2005-03-21,Kidde UK,GB0000154020
+,2005-03-21,Marstons,GB00B1JQDM80
+,2005-03-21,Maurel Prom,FR0000051070
-,2005-03-21,Novar,GB0001762680
-,2005-03-21,Valora,CH0002088976
-,2005-03-03,Almanij,BE0003703171
+,2005-03-03,APRR,FR0006807004
-,2005-03-01,Cemex Invsts,GB0007266413
+,2005-03-01,SES SA,LU0088087324
+,2005-01-31,Lanxess,DE0005470405
-,2005-01-31,TNU,GB00B64FX815
+,2004-12-29,Metsa Board,FI0009000665
-,2004-12-29,Teva Milbrook,GB0000404482
-,2004-12-20,Altran Tech,FR0000034639
+,2004-12-20,Atresmedia,ES0109427734
+,2004-12-20,Ferrovial.,NULL
-,2004-12-20,Laser Holdings,GB0001583078
+,2004-12-20,Sika,CH0418792922
+,2004-12-20,Sonova Hldg,CH0012549785
-,2004-12-20,TDK Electronics,DE0005128003
-,2004-12-20,Wella,DE0007765638
+,2004-11-15,Kuehne und Nagel,CH0025238863
-,2004-09-20,Celanese,DE0005753008
-,2004-09-20,Colt Group,LU0253815640
-,2004-09-20,ENV Internat,NL0000200889
-,2004-09-20,J D Wetherspoon,GB0001638955
+,2004-09-20,Kinnevik,SE0022060521
+,2004-09-20,Mediaset Espana,ES0152503035
-,2004-09-20,Medion,DE0006605009
-,2004-09-20,Metsa Board,FI0009000665
+,2004-09-20,Postbank,DE0008001009
+,2004-09-20,PSP Property,CH0018294154
+,2004-09-20,Safran Aircraft,FR0005328747
-,2004-09-20,Santander UK,GB0000044551
+,2004-09-20,Solocal Gr,FR001400SA10
+,2004-09-20,Terna,IT0003242622
-,2004-09-20,Terra Networks,ES0178174019
-,2004-09-20,Tessellis,IT0005496473
+,2004-09-20,Tullow,GB0001500809
-,2004-07-28,Rhone Poulenc,FR0000130460
+,2004-07-28,Tandberg,NO0005620856
+,2004-07-23,Heidlbrger Druck,DE0007314007
-,2004-07-23,Kinnevik Ind,SE0000104416
+,2004-07-20,G4S,GB00B01FLG62
-,2004-07-20,Group 4 Falck,DK0010291699
-,2004-07-14,Celltech Group,GB0001822765
+,2004-07-14,Informa,GB00BMJ6DW54
+,2004-07-01,Burberry Group,GB0031743007
-,2004-07-01,Maxeda,NL0000390979
-,2004-06-25,Canary Wharf Grp,GB0031016099
+,2004-06-25,K&S,DE000KSAG888
+,2004-06-21,Eircom Group,GB0034341890
-,2004-06-21,Fabege Fastighet,SE0000500308
-,2004-06-21,Fineco,IT0003602155
+,2004-06-21,Janus Henderson,JE00BYPZJM29
+,2004-06-21,Perl Grp No 1,GB0004342563
+,2004-06-21,Proximus,BE0003810273
+,2004-06-21,STMicroelectron,NL0000226223
-,2004-06-21,STMicroelectron,NL0000226223
-,2004-06-21,Tomra Systems,NO0012470089
-,2004-05-05,Kering Holland,NL0000359552
+,2004-05-05,Vistry Group,GB0001859296
-,2004-05-03,Duelguide Hldg,GB0001921781
+,2004-05-03,Eiffage,FR0000130452
+,2004-05-03,Hochtief,DE0006070006
-,2004-05-03,Wanado,FR0000124158
-,2004-04-08,Bostads Drott,SE0001184904
-,2004-04-08,GE Hlthcare,GB0002747532
+,2004-04-08,Metropole,FR0000053225
+,2004-04-07,Bostads Drott,SE0001184904
-,2004-03-25,Billerud AB,SE0000862997
+,2004-03-25,Yara Intl,NO0010208051
-,2004-03-22,Arcandor,DE0006275001
+,2004-03-22,Capricorn Energy,GB00BNKT5L33
-,2004-03-22,Gal Lafayette,FR0000121246
+,2004-03-22,Getronics,NL0000853091
+,2004-03-22,Isoft Group (UK),GB0009165613
-,2004-03-22,John Wood,GB00B5N0P849
-,2004-03-22,Matalan,GB0002594264
+,2004-03-22,Nasdaq SE,NULL
-,2004-03-22,Nationale Bank,BE0003008019
+,2004-03-22,Scor,FR0010411983
-,2004-03-22,Singulus Tech,DE000A1681X5
-,2004-03-22,Unipol,IT0004810054
+,2004-03-22,voestalpine,AT0000937503
+,2004-03-22,Wienerberger,AT0000831706
-,2004-03-08,Safeway,GB0000492412
+,2004-02-02,Altran Tech,FR0000034639
-,2004-02-02,Carlton Comm,GB0003419255
+,2004-01-28,Straumann,CH1175448666
-,2004-01-05,First Active,IE0004321422
+,2004-01-05,Hannover Rueck,DE0008402215
-,2003-12-31,Parmalat Fin,IT0003121644
-,2003-12-23,Jarvis,GB00B0DLKZ47
-,2003-12-23,Solvay France,FR0010479956
-,2003-12-22,Banca Sondrio,IT0000784196
-,2003-12-22,BPER Banca,IT0000066123
-,2003-12-22,Caledonia Invts,GB0001639920
+,2003-12-22,Fastweb,IT0001423562
+,2003-12-22,Micronas Semicon,CH0012337421
+,2003-12-22,Prosieben Media,DE000PSM7770
-,2003-12-22,Rio Tinto France,FR0000132904
+,2003-12-22,Siemens Gamesa R,ES0143416115
+,2003-12-22,Staples Solution,NL0000852861
+,2003-12-22,Vesuvius,GB00B82YXW83
-,2003-12-22,Vodafone Panafon,GRS307333005
-,2003-12-19,Caledonia Invts,GB0001639920
-,2003-12-17,Dragados & Conat,ES0127070110
+,2003-12-17,Kinnevik Ind,SE0000104416
+,2003-12-05,Antofagasta,GB0000456144
-,2003-12-05,Debenhams,GB0002351038
-,2003-12-05,Gjensidige NOR,NO0010149354
+,2003-12-05,Laser Holdings,GB0001583078
-,2003-10-24,Orange SA,FR0000079196
+,2003-10-24,UniCredit AT,AT0000995006
-,2003-10-09,Instrumentarium,FI0009000509
+,2003-10-09,Redeia Corp,ES0173093024
-,2003-10-07,Global Radio,GB0001742393
+,2003-10-06,Hypo Real Hldg,DE0008027707
-,2003-09-22,Aggreko,GB00BK1PTB77
-,2003-09-22,ASM Intl,NL0000334118
+,2003-09-22,Colt Group,LU0253815640
+,2003-09-22,Cosmote,GRS408333003
-,2003-09-22,Demant,DK0060738599
-,2003-09-22,easyJet,GB00B7KR2P84
-,2003-09-22,EdizioneProperty,IT0003106777
-,2003-09-22,Ems Chemie Hldg,CH0016440353
-,2003-09-22,G4S,GB00B01FLG62
+,2003-09-22,Grafton Grp,IE00B00MZ448
+,2003-09-22,Hibu,GB0031718066
+,2003-09-22,Nrthmbrn Water,GB0033029744
+,2003-09-22,OPAP,GRS419003009
-,2003-09-22,Orion,FI0009800346
-,2003-09-22,Perrigo Holding,BE0003785020
-,2003-09-22,Rexel Hldg NL,NL0000355477
-,2003-09-22,Rieter Hldg,CH0003671440
+,2003-09-22,Sanoma,FI0009007694
+,2003-09-22,Somerfield,GB0008218694
+,2003-09-22,Stagecoach Grp,GB00B6YTLS95
+,2003-09-22,Telent,GB00B0S5CP58
+,2003-09-22,Trelleborg,SE0000114837
+,2003-09-22,Unipol,IT0004810054
+,2003-09-22,Weir Group,GB0009465807
-,2003-09-22,Zimmer Schweiz,CH0006544859
+,2003-08-14,Bank of Greece,GRS004013009
-,2003-08-14,Chubb UK,GB0000152198
+,2003-08-04,Italiaonline,IT0005187940
-,2003-08-04,Pirelli,IT0000088457
+,2003-08-04,Pirelli and C,IT0004623051
-,2003-08-04,Telecom IT,IT0001127429
-,2003-08-04,TI Media,IT0005022170
+,2003-08-01,Edison It,IT0003152417
-,2003-08-01,Selfridges,GB0002919784
-,2003-07-07,Buderus,DE0005278006
+,2003-07-07,Darty,GB0033040113
-,2003-07-01,Banca Bergamo,IT0000064409
-,2003-07-01,BPCI,IT0000064193
+,2003-07-01,UBI Banca,IT0003487029
+,2003-07-01,Wendel,FR0000121204
-,2003-06-23,Acea,IT0001207098
+,2003-06-23,Banco Valencia,ES0113980F34
+,2003-06-23,Billerud AB,SE0000862997
-,2003-06-23,Evonik Operation,DE0005421903
+,2003-06-23,Mapfre,ES0124244E34
-,2003-06-23,Rexel,FR0000125957
+,2003-06-23,TP ICAP Group,JE00BMDZN391
-,2003-06-23,Van der Moolen,NL0000370179
-,2003-06-19,Credit Lyon,FR0000184202
+,2003-06-19,Orange Belgium,BE0003735496
+,2003-06-16,Alfa Laval AB,SE0000695876
-,2003-06-16,Dampskibsselskab,DK0010244342
-,2003-06-04,Aurea Conc Infr,ES0111847036
+,2003-06-04,Public Power,GRS434003000
+,2003-05-27,Actelion,CH0010532478
-,2003-05-27,VolkerWessels NL,NL0000392926
+,2003-04-15,InterContinental,GB00BHJYC057
+,2003-04-15,Mitchells Butler,GB00B1FP6H53
-,2003-04-15,Six Continents,GB0002431954
-,2003-04-15,Tandberg,NO0005620856
+,2003-04-07,Amadeus IT Gro,ES0109169013
-,2003-04-07,Vodafone PT,PTTLE0AM0004
-,2003-03-24,Amadeus IT Gro,ES0109169013
+,2003-03-24,Brit Insur,NL0009347863
-,2003-03-24,Finaxa,FR0000033136
-,2003-03-24,Getronics,NL0000853091
+,2003-03-24,Heidelberg Ital,IT0001465159
-,2003-03-24,Heidlbrger Druck,DE0007314007
+,2003-03-24,Kesko,FI0009000202
-,2003-03-24,Kudelski,CH0012268360
-,2003-03-24,Luminar Group,GB00B2423069
+,2003-03-24,Old Co 20,GB00B2988H17
+,2003-03-24,Outokumpu,FI0009002422
-,2003-03-24,Pagegroup,GB0030232317
-,2003-03-24,Perl Grp No 1,GB0004342563
+,2003-03-24,Puma DE,DE0006969603
-,2003-03-24,SNL,BMG850801025
+,2003-03-24,SSAB,SE0000171100
+,2003-03-24,Topdanmark,DK0060477503
-,2003-01-31,Italgas Reti,IT0003049217
+,2003-01-31,Metsa Board,FI0009000665
-,2003-01-15,CC Carrefour,ES0118095019
+,2003-01-15,Valiant Hldg,CH0014786500
-,2003-01-02,La Fondiaria Ass,IT0001062097
+,2003-01-02,UnipolSai Assicu,IT0004827447
+,2003-01-01,UM,BE0974320526
-,2002-12-31,CMG PLC,GB0003847372
-,2002-12-23,Altran Tech,FR0000034639
+,2002-12-23,Aryzta,CH0043238366
-,2002-12-23,Atkinsrealis WS,GB0000608009
-,2002-12-23,Bodycote,GB00B3FLWH99
+,2002-12-23,Brixton,GB0001430023
+,2002-12-23,DCC,IE0002424939
-,2002-12-23,Disetronic Hldg,CH0001663308
+,2002-12-23,Duelguide Hldg,GB0001921781
+,2002-12-23,Ebro Foods,ES0112501012
-,2002-12-23,EDF Nuclear,GB0007382939
+,2002-12-23,First Active,IE0004321422
+,2002-12-23,Getinge,SE0000202624
+,2002-12-23,HMV Group,GB0031575722
+,2002-12-23,Inchcape,GB00B61TVQ02
+,2002-12-23,Intermediate Cap,GB00BYT1DJ19
-,2002-12-23,Interserve,GB0001528156
+,2002-12-23,Intertek Group,GB0031638363
-,2002-12-23,Intracom Hldgs,GRS087003000
+,2002-12-23,JCDecaux,FR0000077919
-,2002-12-23,Jetix Europe,NL0000352524
-,2002-12-23,MyTravel Grp,GB0000109792
-,2002-12-23,Nutreco,NL0010395208
+,2002-12-23,Punch Taverns,GB00BPXRVT80
-,2002-12-23,RTL Group,LU0061462528
-,2002-12-23,Scor,FR0010411983
-,2002-12-23,Sonae SGPS SA,PTSON0AM0001
-,2002-12-23,Spirent,GB0004726096
+,2002-12-23,Stada Arzneimitt,DE0007251803
-,2002-12-23,Stagecoach Grp,GB00B6YTLS95
+,2002-12-23,Valora,CH0002088976
-,2002-12-23,VFS GI,CH0003504856
-,2002-12-23,Viohalco HCAI,GRS085101004
+,2002-12-23,Vita Group,GB0001421626
-,2002-12-23,WCM Beteiligungs,DE000A1X3X33
+,2002-12-09,Schindler,CH0024638196
-,2002-12-09,Telia Finland,FI0009011712
-,2002-11-26,Telia Company,SE0000667925
+,2002-11-26,Telia Finland,FI0009011712
+,2002-11-15,Bellway,GB0000904986
-,2002-11-15,SIMCO,FR0000121808
+,2002-11-05,Caiss Regio Cred,FR0000045528
-,2002-11-05,Kingfisher Inves,FR0000124208
+,2002-10-22,Greene Kin,GB00B0HZP136
-,2002-10-22,Lattice Grp,GB0009766402
-,2002-09-23,Actelion,CH0010532478
-,2002-09-23,Aixtron,DE000A0WMPJ6
+,2002-09-23,Amer Sport,FI0009000285
-,2002-09-23,Amey,GB0002566106
-,2002-09-23,Atari,FR0010478248
-,2002-09-23,BTG,GB0001001592
-,2002-09-23,Cambridge UK,GB0001662252
+,2002-09-23,Carlsberg,DK0010181759
-,2002-09-23,Dimension Data,GB0008435405
+,2002-09-23,Enagas,ES0130960018
+,2002-09-23,Halma,GB0004052071
-,2002-09-23,Hugo Boss,DE0005245534
+,2002-09-23,Iber Lin Aer Esp,ES0147200036
+,2002-09-23,Immofinanz,AT0000A21KS2
+,2002-09-23,Investec,GB00B17BBQ50
-,2002-09-23,JJB Sports,GB00B646JG43
+,2002-09-23,John Wood,GB00B5N0P849
+,2002-09-23,Klepierre,FR0000121964
+,2002-09-23,Lindt & Spruengl,CH0010570759
+,2002-09-23,Metrovacsa,ES0154220414
-,2002-09-23,Modern Times,SE0018012494
+,2002-09-23,Nex Intl,GB0033872168
+,2002-09-23,Perrigo Holding,BE0003785020
-,2002-09-23,PGS ASA,NO0010199151
-,2002-09-23,PizzaExpress,GB0008419532
+,2002-09-23,Premier Farnell,GB0003318416
-,2002-09-23,Riverdeep Group,IE0001521057
+,2002-09-23,Safran,FR0000073272
+,2002-09-23,SIG Grp,CH0012022494
-,2002-09-23,Sonova Hldg,CH0012549785
-,2002-09-23,Sopra Steria UK,GB0003304176
-,2002-09-23,St James's Place,GB0007669376
+,2002-09-23,Suedzucker,DE0007297004
-,2002-09-23,Vesuvius,GB00B82YXW83
-,2002-09-23,VP Bank,LI0315487269
+,2002-09-23,William Hill,GB0031698896
+,2002-09-03,easyJet,GB00B7KR2P84
-,2002-09-03,Smrft Kappa Corp,IE0031943644
+,2002-07-01,Actelion,CH0010532478
-,2002-07-01,EO UK,GB0004437462
-,2002-07-01,Rolo Banca,IT0001070405
+,2002-07-01,Spectris,GB0003308607
+,2002-07-01,VolkerWessels NL,NL0000392926
-,2002-07-01,Wendel,FR0000121022
+,2002-06-24,Agfa Gevart,BE0003755692
-,2002-06-24,Arris Global,GB0006672785
-,2002-06-24,BHW Holding,DE0005223903
-,2002-06-24,Big Food Group,GB0004558713
+,2002-06-24,CC Carrefour,ES0118095019
-,2002-06-24,Colt Group,LU0253815640
+,2002-06-24,Dairy Crest Grp,GB0002502812
+,2002-06-24,Geberit,CH0030170408
+,2002-06-24,Imerys,FR0000120859
+,2002-06-24,Kidde UK,GB0000154020
-,2002-06-24,M 2003,GB0008774316
-,2002-06-24,Metropole,FR0000053225
-,2002-06-24,Nasdaq SE,NULL
+,2002-06-24,Pillar Property,GB00B01HL065
+,2002-06-24,Quadient,FR0000120560
+,2002-06-24,Sacyr ES,ES0182870214
-,2002-06-24,Tecan Group,CH0012100191
-,2002-06-24,Telenor Sverige,SE0001175985
-,2002-06-24,Telewest Com Net,GB0006544521
+,2002-06-24,Zimmer Schweiz,CH0006544859
+,2002-06-04,ASF,FR0005512555
-,2002-06-04,Banca Pop Novara,IT0000064508
+,2002-06-04,Banco BPM,IT0005218380
-,2002-06-04,Pplre Verna,IT0001065215
+,2002-05-30,Bca Antonveneta,IT0003270102
-,2002-05-30,Rwe Generation U,GB0009594036
-,2002-05-14,Enterprise Oil,GB0003188660
+,2002-05-14,Johnston Press,GB00BRK8Y334
-,2002-05-09,Rodamco NA,NL0000289312
+,2002-05-09,Xstrata Ltd,GB0031411001
-,2002-03-18,Alitalia,IT0003918577
-,2002-03-18,Aryzta,CH0043238366
+,2002-03-18,Berendsen,GB00B0F99717
+,2002-03-18,Credit Agricole,FR0000045072
+,2002-03-18,Ei Group,GB00B1L8B624
-,2002-03-18,Energis,GB0008897828
-,2002-03-18,Great Portland,GB00BF5H9P87
-,2002-03-18,IKB,DE0008063306
+,2002-03-18,Intracom Hldgs,GRS087003000
-,2002-03-18,Morg Adv Mater,GB0006027295
-,2002-03-18,Nuernberger Bete,DE0008435967
+,2002-03-18,PizzaExpress,GB0008419532
+,2002-03-18,Scor Hldg,CH0012997711
+,2002-03-18,Snam IT,IT0003153415
-,2002-03-18,Software,DE000A2GS401
+,2002-03-18,Telekom Austria,AT0000720008
+,2002-02-19,Arcelor,LU0325453354
-,2002-02-19,Arcelormittal Fr,FR0000132607
-,2002-01-15,Sveaskog Forval,NULL
+,2002-01-15,Woolworths Group,GB0030738610
-,2001-12-24,Agfa Gevart,BE0003755692
+,2001-12-24,Aurea Conc Infr,ES0111847036
-,2001-12-24,CGI IT konsulter,SE0000115404
-,2001-12-24,Club Med,FR0000121568
-,2001-12-24,Cordiant Comm,GB0001580397
-,2001-12-24,Euler Hermes Gr,FR0004254035
-,2001-12-24,GEDI,IT0001398541
+,2001-12-24,Huhtamaki,FI0009000459
+,2001-12-24,Instrumentarium,FI0009000509
+,2001-12-24,Interserve,GB0001528156
+,2001-12-24,Irish Bnk Rslutn,IE00B06H8J93
+,2001-12-24,JJB Sports,GB00B646JG43
+,2001-12-24,Jyske Bank,DK0010307958
+,2001-12-24,Luminar Group,GB00B2423069
+,2001-12-24,Natixis,FR0000120685
+,2001-12-24,Nuernberger Bete,DE0008435967
-,2001-12-24,Publigroupe,CH0004626302
+,2001-12-24,Randstad,NL0000379121
-,2001-12-24,Safran,FR0000073272
-,2001-12-24,SGL,DE0007235301
-,2001-12-24,Siemens Gamesa R,ES0143416115
+,2001-12-24,Singulus Tech,DE000A1681X5
-,2001-12-24,Sulzer,CH0038388911
-,2001-12-24,UnipolSai Assicu,IT0004827447
-,2001-12-24,Vicat,FR0000031775
+,2001-12-24,Wereldhave,NL0000289213
+,2001-12-17,JLT Group Hldg,GB0005203376
-,2001-11-19,Charles Voegel,CH0006937772
+,2001-11-19,Telefonica O2,GB00B05KYV34
-,2001-11-08,Eircom Group,IE0007231479
+,2001-11-08,RAC Group,GB0005145239
-,2001-10-23,Austria Tabak,AT0000619200
